output	sample	tool	fp	tp	fn	tn	sensitivity	specificity	pred_val_pos	pred_val_neg
full	ABRF_MGRG_10ng	PhyloSift	7689	31	3	509224	0.911764705882353	0.985125156457663	0.00401554404145078	0.999994108717723
full	ABRF_MGRG_10ng	PhyloSift90pct	789	30	4	516125	0.882352941176471	0.998473633912024	0.0366300366300366	0.999992249999516
full	ABRF_MGRG_1ng	BlastMeganFiltered	9	28	6	516907	0.823529411764706	0.99998258904735	0.756756756756757	0.999988392630868
full	ABRF_MGRG_1ng	BlastMeganFilteredLiberal	49	31	3	516864	0.911764705882353	0.999905206485424	0.3875	0.999994195798919
full	ABRF_MGRG_1ng	ClarkM1Default	1565	29	5	515350	0.852941176470588	0.996972422932204	0.0181932245922208	0.999990297949957
full	ABRF_MGRG_1ng	ClarkM4Spaced	453	29	5	516462	0.852941176470588	0.99912364702127	0.0601659751037344	0.999990318839345
full	ABRF_MGRG_1ng	DiamondMegan	29	27	7	516888	0.794117647058823	0.999943898149993	0.482142857142857	0.999986457597771
full	ABRF_MGRG_1ng	Gottcha	0	22	12	516922	0.647058823529412	1	1	0.999976786204815
full	ABRF_MGRG_1ng	Kraken	2327	33	1	514584	0.970588235294118	0.995498257920609	0.0139830508474576	0.999998056686456
full	ABRF_MGRG_1ng	KrakenFiltered	115	32	2	516797	0.941176470588235	0.999777524994583	0.217687074829932	0.999996130023471
full	ABRF_MGRG_1ng	LMAT	597	32	2	516315	0.941176470588235	0.998845064537097	0.0508744038155803	0.999996126410713
full	ABRF_MGRG_1ng	MetaFlow	2	19	15	516923	0.558823529411765	0.999996130966775	0.904761904761905	0.999970982980551
full	ABRF_MGRG_1ng	MetaPallette-SmallDB-qual4-default	120	22	12	516802	0.647058823529412	0.999767856659225	0.154929577464789	0.999976780814761
full	ABRF_MGRG_1ng	MetaPallette-SmallDB-qual4-specific	176	23	11	516745	0.676470588235294	0.999659522441534	0.115577889447236	0.999978713357948
full	ABRF_MGRG_1ng	Metaphlan	2	25	9	516917	0.735294117647059	0.999996130921866	0.925925925925926	0.999982589384167
full	ABRF_MGRG_1ng	NBC	2047	12	22	514885	0.352941176470588	0.996040098117354	0.00582807187955318	0.9999572738378
full	ABRF_MGRG_1ng	OneCodexAbundanceFiltered	10	29	5	516905	0.852941176470588	0.999980654459631	0.743589743589744	0.999990327136252
full	ABRF_MGRG_1ng	PhyloSift	7239	31	3	509674	0.911764705882353	0.985995709142544	0.00426409903713893	0.999994113919208
full	ABRF_MGRG_1ng	PhyloSift90pct	779	31	3	516134	0.911764705882353	0.998492976574395	0.0382716049382716	0.999994187589729
full	ABRF_MGRG_5ng	BlastMeganFiltered	12	28	6	516904	0.823529411764706	0.999976785396467	0.7	0.999988392563502
full	ABRF_MGRG_5ng	BlastMeganFilteredLiberal	47	30	4	516867	0.882352941176471	0.999909075784367	0.38961038961039	0.999992261125116
full	ABRF_MGRG_5ng	ClarkM1Default	1516	29	5	515399	0.852941176470588	0.997067216080013	0.0187702265372168	0.999990298872341
full	ABRF_MGRG_5ng	ClarkM4Spaced	447	29	5	516468	0.852941176470588	0.999135254345492	0.0609243697478992	0.999990318951814
full	ABRF_MGRG_5ng	DiamondMegan	30	27	7	516887	0.794117647058823	0.999941963603441	0.473684210526316	0.999986457571572
full	ABRF_MGRG_5ng	Gottcha	0	22	12	516922	0.647058823529412	1	1	0.999976786204815
full	ABRF_MGRG_5ng	Kraken	2215	33	1	514696	0.970588235294118	0.995714929649398	0.0146797153024911	0.999998057109328
full	ABRF_MGRG_5ng	KrakenFiltered	104	33	1	516807	0.970588235294118	0.999798804823267	0.240875912408759	0.999998065045433
full	ABRF_MGRG_5ng	LMAT	593	32	2	516319	0.941176470588235	0.998852802798155	0.0512	0.999996126440722
full	ABRF_MGRG_5ng	MetaFlow	2	25	9	516917	0.735294117647059	0.999996130921866	0.925925925925926	0.999982589384167
full	ABRF_MGRG_5ng	MetaPallette-SmallDB-qual4-default	154	20	14	516770	0.588235294117647	0.999702083865326	0.114942528735632	0.999972909377999
full	ABRF_MGRG_5ng	MetaPallette-SmallDB-qual4-specific	194	21	13	516729	0.617647058823529	0.999624702325104	0.0976744186046512	0.999974842377821
full	ABRF_MGRG_5ng	Metaphlan	3	25	9	516916	0.735294117647059	0.999994196382799	0.892857142857143	0.999982589350486
full	ABRF_MGRG_5ng	NBC	2050	12	22	514882	0.352941176470588	0.996034294646104	0.005819592628516	0.999957273588863
full	ABRF_MGRG_5ng	OneCodexAbundanceFiltered	8	29	5	516907	0.852941176470588	0.999984523567705	0.783783783783784	0.999990327173678
full	ABRF_MGRG_5ng	PhyloSift	7246	31	3	509667	0.911764705882353	0.985982167211891	0.00425999725161468	0.999994113838366
full	ABRF_MGRG_5ng	PhyloSift90pct	789	30	4	516125	0.882352941176471	0.998473633912024	0.0366300366300366	0.999992249999516
full	ABRF_MGRG_Half	BlastMeganFiltered	12	28	6	516904	0.823529411764706	0.999976785396467	0.7	0.999988392563502
full	ABRF_MGRG_Half	BlastMeganFilteredLiberal	71	30	4	516843	0.882352941176471	0.99986264639766	0.297029702970297	0.999992260765759
full	ABRF_MGRG_Half	ClarkM1Default	1421	29	5	515494	0.852941176470588	0.997250998713522	0.02	0.999990300660137
full	ABRF_MGRG_Half	ClarkM4Spaced	495	29	5	516420	0.852941176470588	0.999042395751719	0.0553435114503817	0.999990318051992
full	ABRF_MGRG_Half	DiamondMegan	32	27	7	516885	0.794117647058823	0.999938094510337	0.457627118644068	0.999986457519172
full	ABRF_MGRG_Half	Gottcha	3	23	11	516918	0.676470588235294	0.999994196405253	0.884615384615385	0.999978720481923
full	ABRF_MGRG_Half	Kraken	2129	33	1	514782	0.970588235294118	0.995881302584004	0.015263644773358	0.999998057433909
full	ABRF_MGRG_Half	KrakenFiltered	129	32	2	516783	0.941176470588235	0.99975044108088	0.198757763975155	0.999996129918632
full	ABRF_MGRG_Half	LMAT	728	32	2	516184	0.941176470588235	0.998591636487449	0.0421052631578947	0.999996125427656
full	ABRF_MGRG_Half	MetaFlow	0	19	15	516925	0.558823529411765	1	1	0.999970983092815
full	ABRF_MGRG_Half	MetaPallette-SmallDB-qual4-default	83	23	11	516838	0.676470588235294	0.999839433878678	0.216981132075472	0.999978717188192
full	ABRF_MGRG_Half	MetaPallette-SmallDB-qual4-specific	115	22	12	516807	0.647058823529412	0.999777529298424	0.160583941605839	0.999976781039397
full	ABRF_MGRG_Half	Metaphlan	1	21	13	516922	0.617647058823529	0.999998065475903	0.954545454545455	0.999974851770532
full	ABRF_MGRG_Half	NBC	2051	12	22	514881	0.352941176470588	0.996032360155688	0.0058167716917111	0.999957273505884
full	ABRF_MGRG_Half	OneCodexAbundanceFiltered	17	29	5	516898	0.852941176470588	0.999967112581372	0.630434782608696	0.99999032700526
full	ABRF_MGRG_Half	PhyloSift	6862	31	3	510051	0.911764705882353	0.986725038836323	0.00449731611780067	0.99999411826983
full	ABRF_MGRG_Half	PhyloSift90pct	905	31	3	516008	0.911764705882353	0.998249221822628	0.0331196581196581	0.99999418617045
full	ABRF_MGRG_Normal	BlastMeganFiltered	10	28	6	516906	0.823529411764706	0.999980654497056	0.736842105263158	0.999988392608413
full	ABRF_MGRG_Normal	BlastMeganFilteredLiberal	51	29	5	516864	0.852941176470588	0.999901337744116	0.3625	0.999990326368964
full	ABRF_MGRG_Normal	ClarkM1Default	1172	29	5	515743	0.852941176470588	0.997732702668717	0.0241465445462115	0.999990305342919
full	ABRF_MGRG_Normal	ClarkM4Spaced	370	29	5	516545	0.852941176470588	0.999284215006336	0.0726817042606516	0.999990320394928
full	ABRF_MGRG_Normal	DiamondMegan	17	27	7	516900	0.794117647058823	0.999967112708617	0.613636363636364	0.999986457912158
full	ABRF_MGRG_Normal	Gottcha	1	26	8	516917	0.764705882352941	0.999998065457191	0.962962962962963	0.999984523867099
full	ABRF_MGRG_Normal	Kraken	1913	33	1	514998	0.970588235294118	0.996299169489525	0.0169578622816033	0.999998058248657
full	ABRF_MGRG_Normal	KrakenFiltered	88	32	2	516824	0.941176470588235	0.999829758256725	0.266666666666667	0.999996130225647
full	ABRF_MGRG_Normal	LMAT	546	32	2	516366	0.941176470588235	0.998943727365586	0.055363321799308	0.999996126793295
full	ABRF_MGRG_Normal	MetaFlow	0	25	9	516919	0.735294117647059	1	1	0.999982589451529
full	ABRF_MGRG_Normal	MetaPallette-SmallDB-qual4-default	127	25	9	516792	0.735294117647059	0.999754313538485	0.164473684210526	0.999982585173016
full	ABRF_MGRG_Normal	MetaPallette-SmallDB-qual4-specific	159	24	10	516761	0.705882352941177	0.999692408883386	0.131147540983607	0.99998064906893
full	ABRF_MGRG_Normal	Metaphlan	3	25	9	516916	0.735294117647059	0.999994196382799	0.892857142857143	0.999982589350486
full	ABRF_MGRG_Normal	NBC	1944	12	22	514988	0.352941176470588	0.996239350630257	0.00613496932515337	0.999957282382866
full	ABRF_MGRG_Normal	OneCodexAbundanceFiltered	10	29	5	516905	0.852941176470588	0.999980654459631	0.743589743589744	0.999990327136252
full	ABRF_MGRG_Normal	PhyloSift	7279	31	3	509634	0.911764705882353	0.985918326681666	0.00424076607387141	0.999994113457225
full	ABRF_MGRG_Normal	PhyloSift90pct	193	22	12	516729	0.647058823529412	0.99962663612692	0.102325581395349	0.999976777534587
full	BMI_bmi_reads	BlastMeganFiltered	9	46	15	516889	0.754098360655738	0.999982588441046	0.836363636363636	0.999970981071921
full	BMI_bmi_reads	BlastMeganFilteredLiberal	18	49	12	516877	0.80327868852459	0.999965176679983	0.73134328358209	0.999976784183838
full	BMI_bmi_reads	ClarkM1Default	1656	47	14	515241	0.770491803278688	0.996796266954538	0.0275983558426307	0.999972828987589
full	BMI_bmi_reads	ClarkM4Spaced	1505	47	14	515392	0.770491803278688	0.997088394786582	0.0302835051546392	0.999972836947959
full	BMI_bmi_reads	DiamondMegan	20	47	14	516877	0.770491803278688	0.999961307571915	0.701492537313433	0.999972914985945
full	BMI_bmi_reads	Gottcha	3	40	21	516901	0.655737704918033	0.999994196214384	0.930232558139535	0.999959374915364
full	BMI_bmi_reads	Kraken	2493	55	6	514396	0.901639344262295	0.995176914192409	0.021585557299843	0.9999883359707
full	BMI_bmi_reads	KrakenFiltered	304	54	7	516586	0.885245901639344	0.999411867128403	0.150837988826816	0.99998644968089
full	BMI_bmi_reads	LMAT	1482	61	0	515401	1	0.997132813421993	0.0395333765392093	1
full	BMI_bmi_reads	MetaFlow	0	34	27	516910	0.557377049180328	1	1	0.999947769263953
full	BMI_bmi_reads	MetaPallette-SmallDB-qual4-default	11	43	18	516890	0.704918032786885	0.999978719329233	0.796296296296296	0.999965177555774
full	BMI_bmi_reads	MetaPallette-SmallDB-qual4-specific	26	43	18	516875	0.704918032786885	0.999949700232733	0.623188405797101	0.999965176545242
full	BMI_bmi_reads	Metaphlan	1	47	14	516896	0.770491803278688	0.999998065378596	0.979166666666667	0.999972915981506
full	BMI_bmi_reads	NBC	2060	14	47	514870	0.229508196721311	0.996014934323796	0.00675024108003857	0.99990872315344
full	BMI_bmi_reads	OneCodexAbundanceFiltered	23	50	11	516871	0.819672131147541	0.99995550344945	0.684931506849315	0.99997871854698
full	BMI_bmi_reads	PhyloSift	6341	61	0	510542	1	0.987732233406786	0.00952827241487035	1
full	BMI_bmi_reads	PhyloSift90pct	541	61	0	516342	1	0.998953341471861	0.101328903654485	1
full	BioPool_BioPool	BlastMeganFiltered	6	48	2	516890	0.96	0.999988392249118	0.888888888888889	0.999996130719763
full	BioPool_BioPool	BlastMeganFilteredLiberal	42	48	2	516854	0.96	0.999918745743825	0.533333333333333	0.999996130450261
full	BioPool_BioPool	ClarkM1Default	956	35	15	515953	0.7	0.998150544873469	0.0353178607467205	0.99997092842967
full	BioPool_BioPool	ClarkM4Spaced	956	35	15	515953	0.7	0.998150544873469	0.0353178607467205	0.99997092842967
full	BioPool_BioPool	DiamondMegan	5	48	2	516891	0.96	0.999990326874265	0.905660377358491	0.999996130727249
full	BioPool_BioPool	Gottcha	3	33	17	516908	0.66	0.999994196292979	0.916666666666667	0.999967113217585
full	BioPool_BioPool	Kraken	1414	34	16	515496	0.68	0.997264514132054	0.0234806629834254	0.999968962895141
full	BioPool_BioPool	KrakenFiltered	148	34	16	516762	0.68	0.999713683233058	0.186813186813187	0.999969038929676
full	BioPool_BioPool	LMAT	140	50	0	516754	1	0.999729151431435	0.263157894736842	1
full	BioPool_BioPool	MetaFlow	2	30	20	516912	0.6	0.999996130884441	0.9375	0.999961310191669
full	BioPool_BioPool	MetaPallette-SmallDB-qual4-default	169	37	13	516738	0.74	0.999673055307821	0.179611650485437	0.999974842815979
full	BioPool_BioPool	Metaphlan	1	41	9	516902	0.82	0.999998065401052	0.976190476190476	0.999982588878937
full	BioPool_BioPool	NBC	1882	15	35	515047	0.3	0.996359267907198	0.00790722192936215	0.99993204965423
full	BioPool_BioPool	OneCodexAbundanceFiltered	2	50	0	516892	1	0.999996130734735	0.961538461538462	1
full	BioPool_BioPool	PhyloSift	5765	50	0	511129	1	0.988846842873007	0.00859845227858985	1
full	BioPool_BioPool	PhyloSift90pct	957	50	0	515937	1	0.998148556570593	0.0496524329692155	1
full	Carma_eval_carma	BlastMeganFiltered	1	107	16	516836	0.869918699186992	0.999998065154004	0.990740740740741	0.99996904336251
full	Carma_eval_carma	BlastMeganFilteredLiberal	1	113	10	516830	0.91869918699187	0.999998065131542	0.991228070175439	0.999980651652349
full	Carma_eval_carma	ClarkM1Default	90	99	24	516755	0.804878048780488	0.999825866555737	0.523809523809524	0.999953558484381
full	Carma_eval_carma	ClarkM4Spaced	70	99	24	516775	0.804878048780488	0.999864562876684	0.585798816568047	0.999953560281657
full	Carma_eval_carma	DiamondMegan	6	98	25	516840	0.796747967479675	0.999988391126177	0.942307692307692	0.9999516314705
full	Carma_eval_carma	Gottcha	0	91	32	516853	0.739837398373984	1	1	0.99993809067781
full	Carma_eval_carma	Kraken	170	119	4	516655	0.967479674796748	0.999671068543511	0.411764705882353	0.999992257949634
full	Carma_eval_carma	KrakenFiltered	7	115	8	516822	0.934959349593496	0.999986455868382	0.942622950819672	0.999984521022386
full	Carma_eval_carma	LMAT	9	107	16	516828	0.869918699186992	0.999982586386037	0.922413793103448	0.999969042883346
full	Carma_eval_carma	MetaFlow	1	2	121	516941	0.016260162601626	0.999998065547005	0.666666666666667	0.999765985510442
full	Carma_eval_carma	MetaPallette-SmallDB-qual4-default	5	60	63	516879	0.48780487804878	0.999990326649693	0.923076923076923	0.999878129461332
full	Carma_eval_carma	MetaPallette-SmallDB-qual4-specific	5	66	57	516873	0.536585365853659	0.999990326537403	0.929577464788732	0.999889733619639
full	Carma_eval_carma	Metaphlan	3	42	81	516899	0.341463414634146	0.999994196191928	0.933333333333333	0.99984332082479
full	Carma_eval_carma	NBC	166	70	53	516708	0.569105691056911	0.999678838556399	0.296610169491525	0.99989743808066
full	Carma_eval_carma	OneCodexAbundanceFiltered	9	97	26	516838	0.788617886178862	0.999982586722957	0.915094339622642	0.999949696631996
full	Carma_eval_carma	PhyloSift	1024	110	13	515810	0.894308943089431	0.998018706199669	0.0970017636684303	0.999974797556526
full	Carma_eval_carma	PhyloSift90pct	370	105	18	516469	0.853658536585366	0.99928410975178	0.221052631578947	0.999965149171228
full	HMP_even_454_SRR072233	BlastMeganFiltered	0	90	37	516854	0.708661417322835	1	1	0.99992841817714
full	HMP_even_454_SRR072233	BlastMeganFilteredLiberal	23	102	25	516819	0.803149606299213	0.999955498972607	0.816	0.999951629505228
full	HMP_even_454_SRR072233	ClarkM1Default	1075	90	37	515779	0.708661417322835	0.997920108966942	0.0772532188841202	0.999928268995146
full	HMP_even_454_SRR072233	ClarkM4Spaced	367	90	37	516487	0.708661417322835	0.999289934875226	0.196936542669584	0.999928367316911
full	HMP_even_454_SRR072233	DiamondMegan	1	83	44	516860	0.653543307086614	0.999998065243847	0.988095238095238	0.999914877810967
full	HMP_even_454_SRR072233	Gottcha	0	83	44	516861	0.653543307086614	1	1	0.999914877975643
full	HMP_even_454_SRR072233	Kraken	1510	112	15	515322	0.881889763779528	0.997078354281469	0.0690505548705302	0.999970892833233
full	HMP_even_454_SRR072233	KrakenFiltered	72	106	21	516766	0.834645669291339	0.999860691357834	0.595505617977528	0.999959364302895
full	HMP_even_454_SRR072233	LMAT	161	115	12	516668	0.905511811023622	0.999688484972786	0.416666666666667	0.999976774792909
full	HMP_even_454_SRR072233	MetaFlow	0	68	59	516876	0.535433070866142	1	1	0.999885865727799
full	HMP_even_454_SRR072233	MetaPallette-SmallDB-qual4-default	24	91	36	516829	0.716535433070866	0.999953565133607	0.791304347826087	0.99993034931752
full	HMP_even_454_SRR072233	MetaPallette-SmallDB-qual4-specific	23	83	44	516838	0.653543307086614	0.999955500608481	0.783018867924528	0.999914874187919
full	HMP_even_454_SRR072233	Metaphlan	2	85	42	516857	0.669291338582677	0.999996130472721	0.977011494252874	0.999918746215412
full	HMP_even_454_SRR072233	NBC	1042	56	71	515846	0.440944881889764	0.997984089396542	0.0510018214936248	0.99986238096438
full	HMP_even_454_SRR072233	OneCodexAbundanceFiltered	12	94	33	516838	0.740157480314961	0.99997678243204	0.886792452830189	0.99993615428221
full	HMP_even_454_SRR072233	PhyloSift	3846	118	9	512980	0.929133858267717	0.992558423918301	0.0297679112008073	0.999982455764159
full	HMP_even_454_SRR072233	PhyloSift90pct	326	106	21	516512	0.834645669291339	0.999369241425747	0.24537037037037	0.999959344320692
full	HMP_even_illum_SRR172902	BlastMeganFiltered	0	89	38	516855	0.700787401574803	1	1	0.999926483817734
full	HMP_even_illum_SRR172902	BlastMeganFilteredLiberal	13	100	27	516831	0.78740157480315	0.999974847342718	0.884955752212389	0.999947761280661
full	HMP_even_illum_SRR172902	ClarkM1Default	1589	90	37	515265	0.708661417322835	0.996925630835787	0.0536033353186421	0.999928197445382
full	HMP_even_illum_SRR172902	ClarkM4Spaced	1695	90	37	515159	0.708661417322835	0.996720543906016	0.0504201680672269	0.999928182672226
full	HMP_even_illum_SRR172902	DiamondMegan	1	84	43	516859	0.661417322834646	0.999998065240104	0.988235294117647	0.999916812084302
full	HMP_even_illum_SRR172902	Gottcha	0	83	44	516861	0.653543307086614	1	1	0.999914877975643
full	HMP_even_illum_SRR172902	Kraken	2477	112	15	514355	0.881889763779528	0.99520734010278	0.0432599459250676	0.999970838112643
full	HMP_even_illum_SRR172902	KrakenFiltered	1029	112	15	515803	0.881889763779528	0.998009024209027	0.098159509202454	0.99997091997565
full	HMP_even_illum_SRR172902	LMAT	1947	122	5	514875	0.960629921259842	0.99623274551006	0.0589656839052682	0.999990288999378
full	HMP_even_illum_SRR172902	MetaFlow	1	2	125	516941	0.015748031496063	0.999998065547005	0.666666666666667	0.999758251364429
full	HMP_even_illum_SRR172902	MetaPallette-SmallDB-qual4-default	6	73	54	516865	0.574803149606299	0.999988391687675	0.924050632911392	0.999895534890379
full	HMP_even_illum_SRR172902	MetaPallette-SmallDB-qual4-specific	4	75	52	516865	0.590551181102362	0.999992261095171	0.949367088607595	0.999899403579298
full	HMP_even_illum_SRR172902	Metaphlan	13	89	38	516842	0.700787401574803	0.999974847878032	0.872549019607843	0.999926481968735
full	HMP_even_illum_SRR172902	NBC	2006	56	71	514882	0.440944881889764	0.996119081890081	0.0271580989330747	0.999862123339412
full	HMP_even_illum_SRR172902	OneCodexAbundanceFiltered	7	94	33	516843	0.740157480314961	0.99998645641869	0.930693069306931	0.999936154899821
full	HMP_even_illum_SRR172902	PhyloSift	5593	115	12	511236	0.905511811023622	0.989178238837217	0.0201471618780659	0.999976528025537
full	HMP_even_illum_SRR172902	PhyloSift90pct	317	101	26	516526	0.795275590551181	0.999386660939589	0.241626794258373	0.999949666248509
full	Huttenhower_HC1	BlastMeganFiltered	83	315	18	516546	0.945945945945946	0.999839343126305	0.791457286432161	0.999965154366158
full	Huttenhower_HC1	BlastMeganFilteredLiberal	96	317	16	516531	0.951951951951952	0.999814179282151	0.767554479418886	0.999969025083874
full	Huttenhower_HC1	ClarkM1Default	985	332	1	515627	0.996996996996997	0.998093346650871	0.25208807896735	0.999998060617344
full	Huttenhower_HC1	ClarkM4Spaced	971	332	1	515641	0.996996996996997	0.998120446292382	0.254796623177283	0.99999806067
full	Huttenhower_HC1	DiamondMegan	13	298	35	516633	0.894894894894895	0.999974837703186	0.958199356913183	0.999932258239334
full	Huttenhower_HC1	Gottcha	1	324	9	516619	0.972972972972973	0.999998064341295	0.996923076923077	0.999982579341422
full	Huttenhower_HC1	Kraken	1498	330	3	515116	0.990990990990991	0.997100349584022	0.180525164113786	0.999994176102998
full	Huttenhower_HC1	KrakenFiltered	585	330	3	516029	0.990990990990991	0.998867626506444	0.360655737704918	0.999994186407045
full	Huttenhower_HC1	LMAT	1085	333	0	515526	1	0.997899773717555	0.234837799717913	1
full	Huttenhower_HC1	MetaFlow	0	284	49	516660	0.852852852852853	1	1	0.999905169060342
full	Huttenhower_HC1	MetaPallette-SmallDB-qual4-default	74	261	72	516609	0.783783783783784	0.999856778721189	0.77910447761194	0.999860649027156
full	Huttenhower_HC1	MetaPallette-SmallDB-qual4-specific	41	256	77	516647	0.768768768768769	0.999920648437742	0.861952861952862	0.999850984277874
full	Huttenhower_HC1	Metaphlan	72	310	23	516562	0.930930930930931	0.999860636349911	0.81151832460733	0.999955476833435
full	Huttenhower_HC1	NBC	1902	151	182	514891	0.453453453453453	0.996319609592235	0.0735509011203117	0.999646652027965
full	Huttenhower_HC1	OneCodexAbundanceFiltered	8	333	0	516603	1	0.99998451446059	0.976539589442815	1
full	Huttenhower_HC1	PhyloSift	5071	333	0	511540	1	0.990184103706657	0.0616210214655811	1
full	Huttenhower_HC1	PhyloSift90pct	783	332	1	515829	0.996996996996997	0.998484355764094	0.297757847533632	0.99999806137681
full	Huttenhower_HC2	BlastMeganFiltered	72	303	26	516569	0.9209726443769	0.999860638238158	0.808	0.999949670438158
full	Huttenhower_HC2	BlastMeganFilteredLiberal	86	308	21	516550	0.936170212765957	0.999833538506802	0.781725888324873	0.999959347311405
full	Huttenhower_HC2	ClarkM1Default	999	326	3	515619	0.990881458966565	0.998066269467963	0.246037735849057	0.99999418178433
full	Huttenhower_HC2	ClarkM4Spaced	1022	326	3	515596	0.990881458966565	0.998021749145403	0.241839762611276	0.99999418152479
full	Huttenhower_HC2	DiamondMegan	14	292	37	516638	0.887537993920973	0.999972902456586	0.954248366013072	0.999928388251802
full	Huttenhower_HC2	Gottcha	0	306	23	516638	0.930091185410334	1	1	0.999955483382721
full	Huttenhower_HC2	Kraken	1793	321	8	514830	0.975683890577508	0.996529384096333	0.151844843897824	0.999984461131463
full	Huttenhower_HC2	KrakenFiltered	780	321	8	515843	0.975683890577508	0.998490194977769	0.291553133514986	0.999984491645843
full	Huttenhower_HC2	LMAT	1005	328	1	515611	0.996960486322188	0.998054647939669	0.246061515378845	0.999998060557163
full	Huttenhower_HC2	MetaFlow	0	296	33	516648	0.899696048632219	1	1	0.999936130804113
full	Huttenhower_HC2	MetaPallette-SmallDB-qual4-default	18	175	154	516751	0.531914893617021	0.999965168189268	0.906735751295337	0.999702072914752
full	Huttenhower_HC2	MetaPallette-SmallDB-qual4-specific	18	203	126	516723	0.617021276595745	0.99996516630188	0.918552036199095	0.999756215064748
full	Huttenhower_HC2	Metaphlan	66	303	26	516575	0.9209726443769	0.999872251718311	0.821138211382114	0.999949671022704
full	Huttenhower_HC2	NBC	1907	148	181	514889	0.449848024316109	0.996309955959411	0.0720194647201946	0.999648591453589
full	Huttenhower_HC2	OneCodexAbundanceFiltered	13	328	1	516603	0.996960486322188	0.999974836242006	0.961876832844575	0.999998064281345
full	Huttenhower_HC2	PhyloSift	4854	327	2	511763	0.993920972644377	0.990604258086745	0.0631152287203243	0.999996091956269
full	Huttenhower_HC2	PhyloSift90pct	724	327	2	515893	0.993920972644377	0.998598574959786	0.311132254995243	0.999996123242133
full	Huttenhower_LC1	BlastMeganFiltered	21	101	15	516822	0.870689655172414	0.999959368705777	0.827868852459016	0.999970977310061
full	Huttenhower_LC1	BlastMeganFilteredLiberal	25	107	9	516812	0.922413793103448	0.999951628850102	0.810606060606061	0.999982585846937
full	Huttenhower_LC1	ClarkM1Default	358	108	8	516478	0.931034482758621	0.999307323793234	0.231759656652361	0.999984510712778
full	Huttenhower_LC1	ClarkM4Spaced	406	114	2	516424	0.982758620689655	0.999214441886113	0.219230769230769	0.999996127228296
full	Huttenhower_LC1	DiamondMegan	11	97	19	516836	0.836206896551724	0.999978717105836	0.898148148148148	0.999963239206354
full	Huttenhower_LC1	Gottcha	3	99	17	516842	0.853448275862069	0.999994195551858	0.970588235294118	0.999967109018127
full	Huttenhower_LC1	Kraken	465	110	6	516369	0.948275862068966	0.999100291389498	0.191304347826087	0.9999883805374
full	Huttenhower_LC1	KrakenFiltered	146	110	6	516688	0.948275862068966	0.999717510844875	0.4296875	0.999988387711102
full	Huttenhower_LC1	LMAT	252	113	3	516579	0.974137931034483	0.999512413148592	0.30958904109589	0.999994192596722
full	Huttenhower_LC1	MetaFlow	2	26	90	516916	0.224137931034483	0.999996130914381	0.928571428571429	0.999825920782351
full	Huttenhower_LC1	MetaPallette-SmallDB-qual4-default	8	56	60	516880	0.482758620689655	0.999984522759283	0.875	0.999883932371262
full	Huttenhower_LC1	MetaPallette-SmallDB-qual4-specific	9	66	50	516869	0.568965517241379	0.999982587767326	0.88	0.999903273046648
full	Huttenhower_LC1	Metaphlan	16	94	22	516834	0.810344827586207	0.99996904324272	0.854545454545455	0.999957434952869
full	Huttenhower_LC1	NBC	1840	42	74	515062	0.362068965517241	0.996440331049212	0.0223166843783209	0.999856348614735
